"","stream","monthN","rep","ArrheniusC","Temp","lnK"
"150","coon",10,4,-0.120648161396637,15.86610119,-4.39781371747122
"151","coon",11,4,0.734652088603362,9.836159722,-4.37325553349227
"152","coon",12,4,0.982965058603362,8.132376302,-4.774842522556
"153","coon",1,5,1.21274157860336,6.573954155,-4.43949669236385
"154","coon",2,5,1.31703835860336,5.872261905,-4.31563458238699
"155","coon",3,5,0.30895531860336,12.80557808,-4.56502221056768
"156","coon",4,5,-0.278009451396642,17.00361111,-4.40386202102553
"157","coon",5,5,-0.941547701396637,21.9002399,-4.29294578053003
"158","coon",6,5,-1.34847918139664,24.98583333,-4.0278254038421
"159","coon",7,5,-1.24326588139664,24.181875,-3.71356222275276
"160","coon",8,5,-1.26264505139664,24.32962963,-3.90371278119107
"161","coon",9,5,-0.985832751396636,22.23293452,-4.16834091599
"162","coon",10,5,-0.120648161396637,15.86610119,-4.31475796877544
"163","coon",11,5,0.734652088603362,9.836159722,-4.46112083898565
"164","coon",12,5,0.982965058603362,8.132376302,-4.80123215131433
"165","hendrick",1,1,0.58306428860336,10.88645349,-4.36145739933596
"166","hendrick",2,1,0.58326385860336,10.8850656,-4.43382489864238
"167","hendrick",3,1,0.168619348603364,13.79818731,-4.23072286058272
"168","hendrick",4,1,-0.0161814913966367,15.11586111,-3.95028063449582
"169","hendrick",5,1,-0.230785291396636,16.66130489,-3.95815082179275
"170","hendrick",6,1,-0.368446231396639,17.66140791,-4.06788093344126
"171","hendrick",7,1,-0.395860391396639,17.86139583,-4.04970081112572
"172","hendrick",8,1,-0.430190241396637,18.11222222,-4.01270658612767
"173","hendrick",9,1,-0.365739701396642,17.64167857,-4.25872173483172
"174","hendrick",10,1,0.0255390286033617,14.81732738,-4.42442729129236
"175","hendrick",11,1,0.416307628603363,12.05088889,-4.27764009717883
"176","hendrick",12,1,0.516052408603365,11.35324219,-4.30092019757653
"177","hendrick",1,2,0.58306428860336,10.88645349,-4.32520571777962
"178","hendrick",2,2,0.58326385860336,10.8850656,-4.27270374758846
"179","hendrick",3,2,0.168619348603364,13.79818731,-4.23382568802992
"180","hendrick",4,2,-0.0161814913966367,15.11586111,-4.0794859009158
"181","hendrick",5,2,-0.230785291396636,16.66130489,-3.9233202294348
"182","hendrick",6,2,-0.368446231396639,17.66140791,-4.18240092865943
"183","hendrick",7,2,-0.395860391396639,17.86139583,-4.02538578731643
"184","hendrick",8,2,-0.430190241396637,18.11222222,-3.98529835507744
"185","hendrick",9,2,-0.365739701396642,17.64167857,-4.23021576435289
"186","hendrick",10,2,0.0255390286033617,14.81732738,-4.31332329843155
"187","hendrick",11,2,0.416307628603363,12.05088889,-4.0860903025482
"188","hendrick",12,2,0.516052408603365,11.35324219,-4.35093781903399
"189","hendrick",1,3,0.58306428860336,10.88645349,-4.35695938007547
"190","hendrick",2,3,0.58326385860336,10.8850656,-4.33285368663269
"191","hendrick",3,3,0.168619348603364,13.79818731,-4.24212793643284
"192","hendrick",4,3,-0.0161814913966367,15.11586111,-4.00979273745276
"193","hendrick",5,3,-0.230785291396636,16.66130489,-4.00720510843465
